City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,brezina,33.0989,1.2608,284.59,71,{'all': 6},7.8,DZ,1736631451
74,bardai,11.65,7.2333,290.29,21,{'all': 13},5.29,NG,1736631452
75,shakawe,-18.3667,21.85,293.74,93,{'all': 100},3.04,BW,1736631453
76,port lincoln,-34.7333,135.8667,294.51,69,{'all': 1},3.75,AU,1736631454
77,stanley,54.868,-1.6985,270.66,95,{'all': 28},1.32,GB,1736631334
78,santa terezinha,-29.9002,-50.0904,295.79,72,{'all': 26},5.62,BR,1736631456
79,ponta delgada,37.7333,-25.6667,291.59,88,{'all': 75},8.75,PT,1736631458
80,lagunas,-5.2269,-75.6753,299.6,92,{'all': 75},1.52,PE,1736631459
81,hermanus,-34.4187,19.2345,290.82,80,{'all': 56},3.97,ZA,1736631460
82,mermoz boabab,14.7065,-17.4758,296.03,56,{'all': 0},3.09,SN,1736631461
83,beledweyne,4.7358,45.2036,296.36,58,{'all': 97},7.44,SO,1736631462
84,sept-iles,50.2001,-66.3821,269.15,68,{'all': 20},3.09,CA,1736631380
85,contamana,-7.3333,-75.0167,304.82,52,{'all': 100},2.55,PE,1736631464
86,moires,35.0532,24.8744,288.22,82,{'all': 39},5.12,GR,1736631465
87,yellowknife,62.456,-114.3525,248.94,90,{'all': 75},2.57,CA,1736631466
88,san rafael,-34.6177,-68.3301,305.05,27,{'all': 41},3.88,AR,1736631199
89,sparti,37.0733,22.4297,286.45,94,{'all': 87},1.8,GR,1736631469
90,kerikeri,-35.2268,173.9474,295.32,69,{'all': 4},2.68,NZ,1736631470
91,ostersund,63.1792,14.6357,269.4,93,{'all': 100},3.09,SE,1736631471
92,ulladulla,-35.35,150.4667,295.83,66,{'all': 98},3.09,AU,1736631472
93,goundam,16.4145,-3.6708,293.28,15,{'all': 100},5.46,ML,1736631473
94,junin,-34.5838,-60.9433,308.58,18,{'all': 95},4.53,AR,1736631346
95,constantia,44.1833,28.65,272.53,76,{'all': 100},3.19,RO,1736631245
96,longyearbyen,78.2186,15.6401,263.06,52,{'all': 20},6.69,SJ,1736631476
97,okhotsk,59.3833,143.3,248.24,86,{'all': 41},3.78,RU,1736631477
98,prince rupert,54.3161,-130.3201,279.2,87,{'all': 20},8.75,CA,1736631478
99,amursk,50.2261,136.8994,246.67,100,{'all': 99},2.93,RU,1736631480
100,lebu,-37.6167,-73.65,290.35,80,{'all': 41},7.96,CL,1736631482
101,faro,37.0194,-7.9322,288.03,94,{'all': 0},3.6,PT,1736631483
102,huaicheng,23.9051,112.1931,275.67,27,{'all': 0},0.28,CN,1736631485
103,iskateley,67.6803,53.1512,256.31,88,{'all': 54},5.96,RU,1736631486
104,amble,55.3333,-1.5833,272.23,100,{'all': 17},2.57,GB,1736631487
105,orchard homes,46.8633,-114.0484,275.45,88,{'all': 100},3.09,US,1736631488
106,greymouth,-42.4667,171.2,291.52,39,{'all': 0},2.26,NZ,1736631489
107,hameenlinna,60.996,24.4643,266.68,67,{'all': 74},6.17,FI,1736631490
108,nova vicosa,-17.8919,-39.3719,298.3,86,{'all': 21},3.29,BR,1736631491
109,westerland,54.9079,8.3033,275.16,77,{'all': 0},6.17,DE,1736631492
110,machico,32.7,-16.7667,292.6,79,{'all': 75},2.06,PT,1736631493
111,vlore,40.4667,19.4897,286.46,85,{'all': 100},2.5,AL,1736631494
112,tsiombe,-25.3,45.4833,299.86,56,{'all': 0},3.09,MG,1736631495
113,vilyuchinsk,52.9306,158.4028,254.3,87,{'all': 25},4.91,RU,1736631497
114,flying fish cove,-10.4217,105.6791,297.97,94,{'all': 100},2.57,CX,1736631498
115,yaren,-0.5472,166.916,300.59,77,{'all': 98},5.12,NR,1736631499
116,cabo san lucas,22.8909,-109.9124,295.24,38,{'all': 0},7.2,MX,1736631277
117,basco,20.4487,121.9702,294.87,74,{'all': 88},9.19,PH,1736631501
118,northam,51.0333,-4.2167,278.6,96,{'all': 100},1.79,GB,1736631502
119,ust-nera,64.5667,143.2,233.92,97,{'all': 79},1.17,RU,1736631503
120,amos,48.5669,-78.1162,261.99,96,{'all': 96},0.8,CA,1736631504
121,susuman,62.7833,148.1667,230.34,100,{'all': 86},0.2,RU,1736631505
122,karratha,-20.7377,116.8463,303.19,66,{'all': 85},2.2,AU,1736631507
123,nadym,65.5333,72.5167,252.8,93,{'all': 57},4.21,RU,1736631508
124,mount pearl,47.5166,-52.7813,274.34,95,{'all': 75},8.75,CA,1736631509
125,menongue,-14.6585,17.691,294.98,51,{'all': 85},1.34,AO,1736631511
126,i-n-salah,27.1935,2.4607,290.53,31,{'all': 1},3.64,DZ,1736631512
127,ilulissat,69.2167,-51.1,256.16,55,{'all': 40},1.54,GL,1736631514
128,enewetak,11.3474,162.3373,299.99,75,{'all': 80},9.46,MH,1736631515
129,youghal,51.95,-7.8506,277.34,100,{'all': 100},0.65,IE,1736631516
130,carauari,-4.8828,-66.8958,303.19,67,{'all': 82},0.48,BR,1736631517
131,thoothukudi,8.8054,78.1453,297.43,75,{'all': 99},6.9,IN,1736631519
132,bandar labuan,5.2888,115.2692,298.35,94,{'all': 20},0.0,MY,1736631520
133,margate,51.3813,1.3862,271.97,84,{'all': 4},3.78,GB,1736631521
134,new kingman-butler,35.265,-114.0323,285.8,21,{'all': 0},9.26,US,1736631522
